ticker
AAPL
MSFT
GOOGL
AMZN
TSLA
NVDA
META
BRK.B
JNJ
V
UNH
JPM
XOM
WMT
PG
MA
HD
BAC
LLY
DIS
PEP
KO
ABBV
COST
AVGO
MRK
CSCO
ABT
CVX
ACN
ADBE
CRM
ORCL
INTC
CMCSA
PFE
TMO
NKE
TXN
NEE
AMD
QCOM
IBM
GE
F
GM
CAT
MMM
HON
RTX
UPS
FDX
SBUX
MCD
DHR
UNP
LIN
LOW
BMY
PM
GILD
AMGN
ISRG
NOW
CCI
AMT
PLD
EXR
PSA
WELL
O
EQIX
DLR
SPG
EQR
AVB
ESS
MAA
UDR
CPT
GOOG
NFLX
UBER
LYFT
ZOOM
DOCU
SNOW
PLTR
COIN
RBLX
ROKU
PINS
SNAP
TWLO
OKTA
CRWD
ZS
NET
DDOG
MDB
TEAM
WDAY
VEEV
ZM
PTON
TDOC
MRNA
BNTX
NVAX
REGN
VRTX
BIIB
ILMN
ALGN
EXAS
MRTX
ARWR
EDIT
CRSP
NTLA
EOG
COP
PXD
MPC
VLO
PSX
HES
OXY
DVN
FANG
SLB
HAL
BKR
KMI
OKE
WMB
EPD
ET
MPLX
PAA
GS
MS
C
WFC
USB
PNC
TFC
RF
FITB
HBAN
KEY
CFG
CMA
ZION
MTB
SIVB
CBSH
BA
DE
CSX
NSC
ODFL
CHRW
JBHT
TGT
TJX
KR
SYY
DLTR
DG
FIVE
ULTA
LULU
VFC
UAA
DECK
CROX
SKX
T
VZ
TMUS
CHTR
DISH
SIRI
MTCH
IAC
SBAC
ZTS
IDXX
MKTX
SPGI
MCO
CME
ICE
NDAQ
CBOE
IEX
MSCI
TRV
AIG
PRU
MET
AFL
ALL
PGR
CB
CINF
HIG
LNC
UNM
SLG
VTR
HCP
PEAK
REG
FRT
KIM
TCO
ADC
BXP
ARE
EXP
HIW
KRC
OFC
PGRE
VNO
WRE
CLI
BEAM
VERV
PRIME
FOLD
RPTX
BOLD
CGEM
TSVT
APLS
SANA
BLUE
SAGE
SGEN
HALO
IMGN
ITCI
KPTI
OIH
XLE
ETP
ETE
SUN
NGL
NS
PSXP
ANDX
WES
BBT
STI
WTFC
PBCT
FHN
SNV
WAL
FFIN
FULT
BANF
CHCO
TRMK
WAFD
KSU
CNI
CP
KNX
LSTR
SAIA
ARCB
WERN
HTLD
MRTN
YELL
CVTI
FCN
GWR
TRN
RAIL
UHAL
MATX
HUBG
EXPD
LOGI
XPO
ADDYY
GIII
HIBB
JWN
M
KSS
DDS
EXPR
ANF
TWTR
QRTEA
DISCA
VIAC
FOX
CONE
CORR
UNIT
LADR
STAG
AIV
BRT
AIZ
WRB
RE
BRO
AON
MMC
AJG
ERIE
EG
Y
AFG
SIGI
THG
NJR
MGEE
AWK
CWT
SPOT
BYND
CELG
INCYTE
BBY
WMG
TKO
NRG
AEP
D
SO
LMT
BKNG
MO
MDLZ
CI
SCHW
ANTM
INTU
MU
PYPL
ADP
FISV
SHW
EL
CMG
ATVI
ADI
APD
CL
DUK
ECL
BDX
KLAC
ITW
BSX
FCX
SYK
APH
MSI
FIS
ROST
CARR
PCAR
MCHP
PAYX
OTIS
CTAS
FAST
VRSK
WLTW
AMAT
LRCX
MRVL
ANET
FTNT
PANW
CYBR
ZI
ESTC
GTLB
PATH
BILL
SQ
HOOD
SOFI
UPST
AFRM
LC
OPEN
RDFN
SAP.DE
SIE.DE
ADS.DE
BAS.DE
BAYN.DE
ALV.DE
DBK.DE
DTE.DE
DPW.DE
MRK.DE
BMW.DE
DAI.DE
CON.DE
VNA.DE
BNP.PA
OR.PA
MC.PA
AI.PA
SU.PA
SGO.PA
CA.PA
BN.PA
RI.PA
UG.PA
EN.PA
FP.PA
SAN.PA
CS.PA
ASML.AS
ADYEN.AS
UNA.AS
INGA.AS
MT.AS
HEIA.AS
NN.AS
PHIA.AS
IMCD.AS
AKZA.AS
ABN.AS
RAND.AS
AZN.L
GSK.L
HSBC.L
UL.L
NG.L
PRU.L
REL.L
SGE.L
STAN.L
VOD.L
TSM
TCEHY
BABA
JD
PDD
NTES
BIDU
NIO
LI
XPEV
TME
BILI
VIPS
QFIN
SONY
TM
HMC
NTT
KB
7203.T
6758.T
9984.T
6861.T
8306.T
9432.T
4063.T
SHOP
RY
TD
BNS
BMO
ENB
CNQ
CNR
WCN
BHP
CSL
CBA
WBC
ANZ
NAB
WOW
TLS
FMG
VALE
ITUB
ABEV
PETR4.SA
BBDC4.SA
B3SA3.SA
